"","type","pct","crime","crimes_count"
"101","misdemeanor_offenses","10","UNAUTHORIZED USE OF A VEHICLE           ",17
"102","misdemeanor_offenses","10","OFFENSES AGAINST THE PERSON (7)      ",5
"103","misdemeanor_offenses","10","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",63
"104","misdemeanor_offenses","10","ADMINISTRATIVE CODE (6)            ",3
"105","misdemeanor_offenses","10","FRAUDS (3)                    ",34
"106","misdemeanor_offenses","10","AGGRAVATED HARASSMENT 2               ",155
"107","misdemeanor_offenses","10","OTHER MISDEMEANORS (8)",406
"109","misdemeanor_offenses","13","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",39
"110","misdemeanor_offenses","13","MISDEMEANOR SEX CRIMES (4)",91
"111","misdemeanor_offenses","13","MISDEMEANOR DANGEROUS DRUGS  (1)",413
"112","misdemeanor_offenses","13","MISDEMEANOR DANGEROUS WEAPONS (5)               ",130
"113","misdemeanor_offenses","13","PETIT LARCENY                         ",1917
"114","misdemeanor_offenses","13","ASSAULT 3 AND RELATED OFFENSES        ",487
"115","misdemeanor_offenses","13","INTOXICATED & IMPAIRED DRIVING              ",28
"116","misdemeanor_offenses","13","VEHICLE AND TRAFFIC LAWS              ",76
"117","misdemeanor_offenses","13","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",311
"118","misdemeanor_offenses","13","CRIMINAL TRESPASS",140
"119","misdemeanor_offenses","13","UNAUTHORIZED USE OF A VEHICLE           ",7
"120","misdemeanor_offenses","13","OFFENSES AGAINST THE PERSON (7)      ",26
"121","misdemeanor_offenses","13","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",99
"122","misdemeanor_offenses","13","ADMINISTRATIVE CODE (6)            ",1
"123","misdemeanor_offenses","13","FRAUDS (3)                    ",136
"124","misdemeanor_offenses","13","AGGRAVATED HARASSMENT 2               ",230
"125","misdemeanor_offenses","13","OTHER MISDEMEANORS (8)",1278
"127","misdemeanor_offenses","14","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",25
"128","misdemeanor_offenses","14","MISDEMEANOR SEX CRIMES (4)",186
"129","misdemeanor_offenses","14","MISDEMEANOR DANGEROUS DRUGS  (1)",571
"130","misdemeanor_offenses","14","MISDEMEANOR DANGEROUS WEAPONS (5)               ",112
"131","misdemeanor_offenses","14","PETIT LARCENY                         ",3842
"132","misdemeanor_offenses","14","ASSAULT 3 AND RELATED OFFENSES        ",627
"133","misdemeanor_offenses","14","INTOXICATED & IMPAIRED DRIVING              ",41
"134","misdemeanor_offenses","14","VEHICLE AND TRAFFIC LAWS              ",77
"135","misdemeanor_offenses","14","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",218
"136","misdemeanor_offenses","14","CRIMINAL TRESPASS",212
"137","misdemeanor_offenses","14","UNAUTHORIZED USE OF A VEHICLE           ",4
"138","misdemeanor_offenses","14","OFFENSES AGAINST THE PERSON (7)      ",10
"139","misdemeanor_offenses","14","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",186
"140","misdemeanor_offenses","14","ADMINISTRATIVE CODE (6)            ",2
"141","misdemeanor_offenses","14","FRAUDS (3)                    ",138
"142","misdemeanor_offenses","14","AGGRAVATED HARASSMENT 2               ",213
"143","misdemeanor_offenses","14","OTHER MISDEMEANORS (8)",3090
"145","misdemeanor_offenses","17","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",5
"146","misdemeanor_offenses","17","MISDEMEANOR SEX CRIMES (4)",59
"147","misdemeanor_offenses","17","MISDEMEANOR DANGEROUS DRUGS  (1)",82
"148","misdemeanor_offenses","17","MISDEMEANOR DANGEROUS WEAPONS (5)               ",19
"149","misdemeanor_offenses","17","PETIT LARCENY                         ",597
"150","misdemeanor_offenses","17","ASSAULT 3 AND RELATED OFFENSES        ",207
"151","misdemeanor_offenses","17","INTOXICATED & IMPAIRED DRIVING              ",24
"152","misdemeanor_offenses","17","VEHICLE AND TRAFFIC LAWS              ",57
"153","misdemeanor_offenses","17","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",153
"154","misdemeanor_offenses","17","CRIMINAL TRESPASS",33
"155","misdemeanor_offenses","17","UNAUTHORIZED USE OF A VEHICLE           ",2
