"","xcoord","ycoord","pforce"
"854",1010025,246298,2
"856",1005885,246334,1
"857",1025507,246350,3
"858",1010929,246421,2
"860",1029359,246504,1
"861",1007645,246550,1
"866",1021208,246602,1
"867",1020789,246627,1
"870",1006375,246656,1
"874",1016553,246720,1
"877",1005297,246796,2
"878",1006111,246803,1
"879",1005538,246818,1
"880",1017883,246820,1
"882",1011111,246850,2
"884",1007902,246875,1
"885",1022079,246887,1
"889",1020525,246946,1
"891",1016992,247008,1
"893",1017518,247040,1
"894",1009826,247051,1
"896",1007101,247117,1
"897",1023036,247177,2
"900",1009834,247208,1
"905",1030904,247429,1
"906",1021517,247436,2
"907",1011163,247458,1
"908",1014131,247458,2
"912",1017410,247507,1
"915",1026241,247648,1
"918",1031725,247668,2
"920",1031052,247744,1
"921",1012975,247755,1
"922",1021421,247782,1
"923",1011526,247828,1
"925",1006998,247894,1
"927",1024520,247949,1
"928",1013611,247977,1
"931",1010707,248016,2
"932",1010638,248020,3
"933",1014830,248022,1
"938",1011642,248112,3
"939",1010911,248140,1
"940",1011459,248161,2
"943",1011511,248284,1
"944",1007436,248286,1
"945",1024079,248329,1
"946",1009219,248333,1
"947",1010244,248385,1
"948",1006894,248425,1
"950",1015193,248585,2
"953",1007213,248747,3
"954",1010257,248767,1
"956",1011960,248837,1
"957",1009699,248848,1
"958",1023365,248873,1
"959",1014039,248920,1
"960",1011141,248995,3
"961",1021087,249005,1
"962",1011718,249007,1
"963",1008702,249016,7
"965",1025370,249101,1
"966",1012107,249138,2
"967",1009428,249139,1
"968",1007640,249147,1
"969",1029703,249171,1
"972",1007071,249381,1
"973",1010643,249400,2
"975",1011314,249478,1
"976",1016391,249523,1
"978",1022405,249542,1
"981",1020830,249724,4
"983",1012116,249791,2
"986",1022671,249820,1
"987",1021630,249843,1
"988",1006269,249855,1
"989",1020567,249866,1
"990",1015996,249910,1
"991",1016269,249937,1
"992",1008278,249953,1
"995",1009315,249995,4
"997",1027641,250071,1
"1000",1009376,250095,1
"1001",1023839,250110,1
"1002",1010365,250117,1
"1009",1009792,250362,3
"1011",1014381,250399,1
"1012",1009305,250411,2
"1013",1007824,250419,1
"1015",1031310,250495,1
"1016",1009656,250502,1
"1019",1014314,250555,1
"1023",1008817,250725,3
"1025",1008855,250770,1
"1026",1013322,250792,1
"1027",1030460,250793,1
"1029",1020857,250907,1
"1032",1020854,251064,1
"1033",1014465,251092,1
"1036",1010722,251115,2
"1037",1007158,251123,1
"1040",1012658,251344,2
"1041",1012497,251415,1
