"","xcoord","ycoord","county","geoid","pforce","race","rf_furt","rf_bulg","rf_knowl","rf_verbl","rf_rfcmp","rf_vcact","rf_attir","rf_othsw","rf_vcrim","azn","ntv","wht_h","wht","blck"
"186",1010485,243271,"Bronx",36005,1,"Black",1,0,0,0,1,0,0,1,0,0,0,0,0,1
"187",1007814,241775,"Bronx",36005,1,"Black",1,0,0,0,1,0,0,0,0,0,0,0,0,1
"188",1007814,241775,"Bronx",36005,1,"Black",0,0,0,0,1,0,0,0,0,0,0,0,0,1
"189",1011674,236847,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,1,0,0,1,0,0
"190",1011169,235321,"Bronx",36005,0,"Black",1,1,0,0,0,0,0,0,0,0,0,0,0,1
"191",1006750,238621,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"192",1014621,238595,"Bronx",36005,1,"White - Hispanic",0,0,0,0,0,0,0,1,1,0,0,1,0,0
"193",1012796,239444,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,1,1,0,0,0,0,1
"194",1012796,239444,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,1,1,0,0,0,0,1
"195",1026406,236930,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,1,0,0,0,0,0,1
"196",1009747,240269,"Bronx",36005,1,"White - Hispanic",0,0,0,0,0,0,0,1,1,0,0,1,0,0
"197",1011656,236164,"Bronx",36005,1,"White - Hispanic",1,1,0,0,1,0,0,0,0,0,0,1,0,0
"198",1004689,243002,"Bronx",36005,1,"Black",1,0,0,0,1,0,0,0,0,0,0,0,0,1
"199",1004689,243002,"Bronx",36005,1,"Black",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"200",1016022,241651,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"201",1007907,246866,"Bronx",36005,0,"Black",1,0,0,0,0,1,0,0,0,0,0,0,0,1
"202",1007907,246866,"Bronx",36005,0,"Black",1,0,0,0,0,1,0,0,0,0,0,0,0,1
"203",1007902,246875,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"204",1007814,241775,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"205",1004044,243795,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"206",1004044,243795,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"207",1014199,239165,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"208",1013539,239322,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"209",1006476,237941,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"210",1020990,237722,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"211",1003637,243020,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"212",1003637,243020,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"213",1003637,243020,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"214",1003637,243020,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"215",1007814,241775,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"216",1015960,240988,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"217",1025717,237597,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"218",1010973,242491,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,1,0,0,0,0,1
"219",1026920,246817,"Bronx",36005,1,"White - Hispanic",0,0,0,0,0,0,0,1,1,0,0,1,0,0
"220",1018051,243130,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"221",1023867,236637,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"222",1003522,243318,"Bronx",36005,1,"Black",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"223",1021309,256791,"Bronx",36005,1,"Black",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"224",1003758,243813,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"225",1012522,239685,"Bronx",36005,0,"Black",1,1,0,0,0,0,0,0,0,0,0,0,0,1
"226",1029359,246504,"Bronx",36005,1,"Black",1,0,0,0,1,1,1,0,1,0,0,0,0,1
"227",1029380,246584,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,1,0,0,1,0,0
"228",1019944,240257,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"229",1019944,240257,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"230",1019944,240257,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"231",1005414,235909,"Bronx",36005,1,"Black",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"232",1025571,236989,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"233",1006261,242012,"Bronx",36005,0,"Black",0,1,1,0,0,0,0,0,0,0,0,0,0,1
"234",1015077,243852,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"235",1014187,253299,"Bronx",36005,0,"Black",1,1,0,0,0,0,0,0,1,0,0,0,0,1
"236",1014187,253299,"Bronx",36005,0,"Black",1,1,0,0,0,0,0,0,1,0,0,0,0,1
"237",1003792,243378,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,1,0,0,0,0,1
"238",1022145,238701,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"239",1011058,239029,"Bronx",36005,0,"Black",1,0,0,0,0,1,0,0,0,0,0,0,0,1
"240",1014247,238457,"Bronx",36005,1,"White - Hispanic",1,0,0,0,1,0,0,0,1,0,0,1,0,0
"241",1012643,252165,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"242",1021971,260705,"Bronx",36005,0,"Black",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"243",1024965,257717,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"244",1024965,257717,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"245",1024295,239221,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,1,0,0,1,0,0
"246",1017356,245369,"Bronx",36005,0,"White",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"247",1003633,243584,"Bronx",36005,0,"Black",1,0,0,0,0,0,1,0,0,0,0,0,0,1
"248",1026259,237993,"Bronx",36005,0,"Black",0,0,1,0,0,0,0,0,1,0,0,0,0,1
"249",1013013,237638,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"250",1010554,243434,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"251",1010554,243434,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"252",1018150,243776,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"253",1018150,243776,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
