"","xcoord","ycoord","pforce"
"183",1010146,237049,1
"185",1008779,237080,1
"186",1005630,237083,3
"187",1033677,237089,1
"189",1010322,237186,1
"191",1005243,237211,1
"193",1013413,237253,1
"195",1009408,237258,1
"196",1013777,237270,1
"197",1015297,237270,1
"198",1013490,237351,1
"199",1014420,237363,1
"200",1007207,237413,1
"203",1026355,237456,1
"205",1006977,237492,1
"207",1004369,237509,2
"209",1011922,237529,3
"217",1015532,237659,1
"220",1007056,237732,1
"224",1014776,237838,1
"225",1015574,237866,2
"227",1026283,237895,1
"230",1006908,237935,1
"231",1006476,237941,3
"233",1006346,237986,2
"234",1014000,238004,2
"235",1015007,238046,1
"236",1006150,238054,1
"237",1013695,238085,2
"240",1014468,238156,2
"242",1007887,238238,1
"244",1013849,238288,1
"245",1013068,238289,1
"246",1007592,238302,1
"248",1025698,238382,1
"249",1013910,238398,5
"252",1025819,238404,1
"255",1014247,238457,1
"257",1021357,238494,3
"260",1006928,238560,1
"261",1021308,238560,1
"262",1016185,238561,4
"263",1010447,238582,3
"265",1014233,238591,1
"266",1014621,238595,1
"269",1011706,238632,1
"271",1006663,238657,1
"272",1006640,238659,2
"274",1013073,238686,1
"275",1014615,238697,1
"277",1006528,238704,1
"278",1006494,238716,1
"279",1010961,238721,3
"280",1007197,238731,2
"281",1032210,238735,1
"282",1014605,238742,1
"283",1015129,238749,1
"285",1012225,238755,1
"289",1012791,238814,4
"291",1006451,238923,5
"292",1004478,238929,1
"295",1008390,239003,1
"296",1014209,239017,1
"300",1010896,239083,1
"303",1010687,239143,1
"304",1014199,239165,2
"305",1014378,239180,1
"306",1004319,239189,1
"307",1006999,239205,2
"309",1011115,239221,1
"312",1021341,239232,1
"314",1012117,239245,2
"315",1021492,239265,1
"318",1011916,239310,1
"330",1014172,239513,1
"336",1014169,239654,1
"337",1012522,239685,2
"339",1033097,239777,2
"340",1018204,239783,1
"343",1020085,239815,1
"346",1020514,239891,1
"347",1020623,239909,1
"352",1014578,240021,1
"353",1025894,240049,1
"354",1020085,240085,1
"356",1014703,240114,1
"359",1015293,240212,2
"362",1017854,240245,1
"363",1009747,240269,1
"367",1011361,240351,3
"369",1011208,240399,1
"370",1018761,240410,1
"373",1005844,240453,2
"374",1017284,240464,1
"375",1019150,240476,1
"377",1014164,240519,1
"378",1013319,240531,1
"379",1012913,240553,1
"381",1019821,240595,1
"382",1021527,240695,2
"384",1014441,240714,2
"385",1020587,240732,1
"389",1004749,240880,1
"390",1022888,240882,1
"391",1021603,240912,2
"392",1015960,240988,2
"393",1014710,241016,1
"396",1006128,241071,1
"398",1017429,241149,1
"400",1008139,241234,1
"401",1018207,241234,1
"402",1012113,241267,1
"403",1025659,241359,1
"406",1018703,241414,1
"407",1009004,241514,1
"408",1006065,241543,1
"410",1025612,241623,1
"411",1008053,241673,1
"414",1019464,241704,1
"415",1007814,241775,2
"416",1006681,241801,1
"419",1008421,241868,2
"420",1007579,241875,1
"421",1007021,241916,1
"423",1024673,241993,1
"424",1008773,242041,2
"425",1008390,242057,1
"426",1010031,242187,1
"429",1003591,242274,4
"431",1008046,242292,3
"432",1007770,242308,2
"433",1006428,242389,2
"434",1019609,242482,1
"436",1007871,242538,1
"437",1017695,242597,1
"438",1012399,242606,1
"439",1010221,242648,2
"441",1003519,242745,1
"444",1004996,242870,1
"445",1008027,242878,1
"446",1007197,242947,1
"448",1010366,242992,1
"451",1004449,243104,1
"453",1018509,243130,1
"455",1007366,243161,1
"456",1004309,243167,1
"457",1007312,243183,2
"458",1018912,243198,1
"461",1025502,243265,1
"462",1004025,243286,2
"464",1007022,243322,1
"465",1020240,243433,1
"467",1022146,243475,1
"469",1007725,243503,2
"470",1004981,243508,1
"473",1034027,243556,1
"475",1003633,243584,1
"477",1017956,243586,1
"479",1015292,243652,1
"481",1005103,243703,1
"485",1011087,243777,1
"488",1011117,243843,1
"489",1007411,243852,2
"491",1013416,243863,1
"493",1007951,244044,1
"494",1010829,244080,1
"496",1027377,244151,1
"497",1009210,244157,1
"498",1026676,244181,2
"500",1004076,244229,2
"501",1008123,244271,1
"502",1026423,244405,1
"505",1007578,244549,1
"506",1020710,244616,1
"507",1025700,244713,2
"508",1007239,244716,1
"509",1020203,244736,1
"510",1008360,244745,1
