"","xcoord","ycoord","pforce"
"1122",1026415,262426,1
"1123",1023626,262429,1
"1124",1017978,262492,1
"1125",1027202,262542,1
"1126",1027129,262567,1
"1127",1010425,262579,1
"1128",1023258,262579,1
"1129",1028068,262584,1
"1130",1009918,262591,2
"1131",1026937,262597,1
"1132",1028062,262605,1
"1133",1024637,262611,1
"1134",1022451,262619,1
"1135",1023133,262631,1
"1136",1022380,262643,4
"1137",1028037,262690,1
"1138",1026541,262718,2
"1139",1022835,262759,2
"1140",1021929,262836,1
"1141",1030611,262929,2
"1142",1027949,263005,2
"1143",1022937,263018,1
"1144",1028198,263042,1
"1145",1022956,263056,1
"1146",1028980,263076,1
"1147",1023472,263095,1
"1148",1027115,263151,1
"1149",1023199,263210,1
"1150",1012345,263323,1
"1151",1024959,263383,1
"1152",1028007,263698,2
"1153",1027202,263734,1
"1154",1025175,263899,1
"1155",1022463,264124,1
"1156",1023090,264164,1
"1157",1028387,264188,1
"1158",1025921,264524,2
"1159",1022923,264534,1
"1160",1022884,265132,1
"1161",1024381,265139,1
"1162",1021972,265517,1
"1163",1018222,265545,1
"1164",1026828,265933,2
"1165",1027073,266004,2
"1166",1021001,266076,1
"1167",1027332,266080,1
"1168",1028043,266287,1
"1169",1026919,266544,1
"1170",1025582,266579,3
"1171",1024530,266641,4
"1172",1023326,266681,1
"1173",1023908,266726,1
"1174",1024229,266796,2
"1175",1027060,267011,1
"1176",1023783,267024,1
"1177",1027526,267147,2
"1178",1021510,267159,2
"1179",1024887,267203,1
"1180",1023332,267253,1
"1181",1023783,267503,1
"1182",1026624,267514,1
"1183",1024155,267642,1
"1184",1024834,267794,3
"1185",1026968,267880,4
"1186",1025287,267952,1
"1187",1026825,268362,1
"1188",1026269,268394,1
"1189",1025621,268476,5
"1190",1025333,268625,1
"1191",1025485,268872,1
"1192",1027085,268915,2
"1193",1024564,269092,2
"1194",1026402,269112,1
"1195",1025882,269298,1
"1196",1026202,269448,2
"1197",1012582,269489,2
"1198",1012846,269924,2
"1199",1012377,269947,1
