"","xcoord","ycoord","pforce","rf_furt","rf_bulg","rf_knowl","rf_verbl","rf_rfcmp","rf_vcact","rf_attir","rf_othsw","rf_vcrim"
"316",1021385,237016,1,0,0,0,0,0,0,0,2,0
"317",1010531,237018,4,3,0,0,0,1,0,0,4,0
"323",1010146,237049,3,1,0,0,0,0,0,0,3,2
"325",1010528,237067,3,2,1,0,0,1,0,0,6,2
"327",1008779,237080,1,0,0,0,0,1,1,1,0,0
"328",1005630,237083,4,1,0,0,0,0,0,0,4,2
"330",1033677,237089,2,0,0,0,0,2,0,0,0,0
"333",1010322,237186,1,1,0,0,0,0,0,0,1,0
"334",1012339,237198,1,1,0,0,0,1,0,0,0,1
"336",1005243,237211,1,0,1,0,0,0,0,0,0,0
"337",1005251,237214,1,0,0,0,0,0,0,0,1,0
"338",1015069,237227,1,2,0,0,0,1,0,2,1,0
"340",1013413,237253,1,0,1,0,0,0,0,0,0,0
"342",1009408,237258,2,0,2,0,0,0,0,0,0,0
"343",1013777,237270,1,1,0,0,0,0,0,0,0,0
"344",1015297,237270,1,0,0,0,0,0,0,1,0,0
"345",1013490,237351,1,0,0,0,0,0,0,0,1,0
"346",1014420,237363,1,0,0,0,0,0,0,1,0,0
"347",1010102,237402,1,0,0,0,0,0,0,0,1,0
"348",1007207,237413,1,0,0,0,0,0,0,0,0,0
"350",1015921,237431,1,0,0,1,0,0,0,0,0,0
"351",1009957,237442,2,0,1,0,0,0,0,0,4,0
"352",1026355,237456,1,0,0,1,0,0,0,0,1,0
"353",1006994,237486,1,0,0,0,0,0,0,0,1,0
"354",1026355,237490,2,1,0,0,0,0,0,0,2,1
"355",1006977,237492,1,0,0,0,0,0,0,0,1,0
"356",1006767,237505,1,0,0,0,0,0,0,0,0,0
"357",1009763,237506,1,0,0,1,0,0,0,0,0,1
"360",1004369,237509,3,1,1,0,0,2,0,1,1,2
"362",1011922,237529,3,0,0,0,0,1,0,0,3,1
"364",1014927,237541,1,1,0,1,0,1,0,1,1,0
"367",1025717,237597,1,0,0,0,0,0,0,0,0,0
"368",1025740,237607,1,0,0,0,0,0,0,0,1,0
"369",1015354,237626,1,0,0,0,0,0,0,0,1,1
"373",1013013,237638,1,0,0,0,0,0,0,0,1,0
"376",1015532,237659,2,0,1,1,0,0,1,0,1,1
"378",1008072,237702,4,3,0,0,0,0,0,0,4,3
"379",1007898,237708,1,0,0,0,0,0,0,0,0,0
"383",1007056,237732,1,0,0,0,0,0,0,0,1,0
"384",1011259,237768,1,0,0,0,0,0,0,0,0,1
"385",1026706,237776,4,1,0,0,0,1,0,0,0,4
"387",1009006,237800,1,0,0,0,0,0,0,0,0,1
"390",1013847,237812,1,1,0,0,0,1,1,0,0,1
"391",1014776,237838,2,1,1,0,0,0,0,0,1,2
"392",1004489,237844,1,0,0,1,0,0,0,0,1,0
"395",1015574,237866,4,0,0,1,0,0,0,0,0,0
"396",1008739,237873,1,1,0,0,0,0,0,0,0,0
"397",1015571,237881,2,1,1,1,0,0,0,0,0,1
"399",1026283,237895,1,0,0,0,0,0,0,0,0,0
"402",1011485,237929,1,2,0,1,0,0,0,0,1,3
"403",1006908,237935,12,8,0,0,0,0,1,1,6,1
"404",1006476,237941,7,4,0,1,0,0,0,3,5,0
"408",1008563,237960,1,0,0,0,0,0,0,0,1,0
"409",1006346,237986,6,3,0,0,0,0,0,0,2,0
"410",1026259,237993,1,0,0,1,0,0,0,0,1,2
"411",1014000,238004,2,0,0,0,0,0,0,0,0,0
"412",1012618,238010,1,0,0,0,0,0,0,0,0,0
"414",1015007,238046,1,1,0,0,0,0,0,0,0,0
"415",1006150,238054,2,1,0,0,0,0,0,0,3,0
"418",1013695,238085,8,4,1,0,0,1,1,0,0,9
"419",1014062,238085,1,0,0,0,0,0,0,0,0,0
"421",1013013,238095,1,1,0,1,0,0,0,0,0,0
"425",1034348,238134,1,1,0,0,0,1,1,0,0,1
"426",1009491,238137,1,0,0,0,0,0,0,0,1,0
"427",1018497,238147,2,0,2,0,0,1,0,0,0,0
"428",1013041,238156,1,0,0,0,0,0,0,0,1,0
"429",1014468,238156,7,6,0,2,1,2,0,3,6,4
"431",1024755,238220,1,0,0,0,0,0,0,0,1,0
"432",1015223,238229,2,0,0,1,0,0,0,1,1,1
"433",1007887,238238,1,0,0,0,0,0,0,0,1,5
"435",1026217,238260,1,1,2,2,0,0,0,0,3,1
"436",1008695,238265,1,1,0,0,0,1,0,0,0,0
"437",1013849,238288,1,2,0,0,0,0,0,0,0,0
"438",1013068,238289,1,0,0,0,0,1,0,0,1,0
"439",1007592,238302,1,0,1,0,0,0,0,0,2,0
"444",1025698,238382,2,0,0,0,0,0,0,0,1,0
"446",1013910,238398,5,5,1,0,0,0,4,0,0,3
"448",1013068,238404,3,8,2,4,0,5,6,6,2,6
"449",1025819,238404,3,0,1,0,0,0,0,0,2,0
