type,PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
misdemeanor_offenses,7,OFFENSES AGAINST THE PERSON (7)      ,11,5,6,11,22,12,7,11,10,4,8,10,16,14,9,13
misdemeanor_offenses,7,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),31,70,86,80,80,110,82,97,101,89,112,106,123,115,113,92
misdemeanor_offenses,7,ADMINISTRATIVE CODE (6)            ,7,2,1,2,1,3,5,4,6,2,5,4,6,5,1,3
misdemeanor_offenses,7,FRAUDS (3)                    ,24,24,27,58,50,58,28,24,28,33,32,36,31,22,35,45
misdemeanor_offenses,7,AGGRAVATED HARASSMENT 2               ,242,267,186,194,205,199,209,201,227,213,216,201,214,203,135,120
misdemeanor_offenses,7,OTHER MISDEMEANORS (8),107,123,78,157,160,127,68,151,105,165,250,321,368,352,284,391
misdemeanor_offenses,7,TOTAL MISDEMEANOR OFFENSES,2419,2297,2312,2730,2698,2895,2590,3057,3161,3146,3438,3211,3270,2970,2741,2932
misdemeanor_offenses,9,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,8,15,16,65,85,83,133,77,67,51,22,47,56,32,34,26
misdemeanor_offenses,9,MISDEMEANOR SEX CRIMES (4),68,36,36,42,38,58,41,34,47,44,36,33,30,31,35,33
misdemeanor_offenses,9,MISDEMEANOR DANGEROUS DRUGS  (1),1391,942,860,1096,753,735,502,526,614,469,682,791,741,548,493,553
misdemeanor_offenses,9,MISDEMEANOR DANGEROUS WEAPONS (5)               ,37,44,38,60,67,68,67,128,88,65,59,55,55,52,39,52
misdemeanor_offenses,9,PETIT LARCENY                         ,1438,1296,1455,1501,1545,1396,1515,1545,1827,1802,1740,1610,1454,1607,1337,1281
misdemeanor_offenses,9,ASSAULT 3 AND RELATED OFFENSES        ,549,490,535,488,525,516,493,485,475,457,523,469,503,473,477,436
misdemeanor_offenses,9,INTOXICATED & IMPAIRED DRIVING              ,23,19,18,14,36,19,40,35,33,43,95,39,36,31,28,22
misdemeanor_offenses,9,VEHICLE AND TRAFFIC LAWS              ,79,51,72,84,83,52,56,26,36,47,35,32,42,46,31,41
misdemeanor_offenses,9,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,433,492,471,457,499,494,439,512,593,586,475,457,471,427,394,408
misdemeanor_offenses,9,CRIMINAL TRESPASS,158,121,91,109,124,170,129,164,206,180,195,237,284,219,220,246
misdemeanor_offenses,9,UNAUTHORIZED USE OF A VEHICLE           ,2,10,7,10,0,4,6,3,9,4,10,1,8,2,11,3
misdemeanor_offenses,9,OFFENSES AGAINST THE PERSON (7)      ,11,9,4,7,30,13,14,12,16,8,18,13,15,12,11,17
misdemeanor_offenses,9,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),110,118,89,87,98,81,106,103,89,104,102,104,119,109,101,110
misdemeanor_offenses,9,ADMINISTRATIVE CODE (6)            ,8,4,3,10,8,10,5,3,8,12,4,4,3,3,3,1
misdemeanor_offenses,9,FRAUDS (3)                    ,87,80,58,39,50,27,39,46,57,29,52,59,58,54,54,47
misdemeanor_offenses,9,AGGRAVATED HARASSMENT 2               ,359,405,358,331,266,308,280,309,289,255,245,227,308,237,156,193
misdemeanor_offenses,9,OTHER MISDEMEANORS (8),558,360,334,403,445,205,161,220,222,254,351,403,404,407,539,496
misdemeanor_offenses,9,TOTAL MISDEMEANOR OFFENSES,5319,4492,4445,4803,4652,4239,4026,4228,4676,4410,4644,4581,4587,4290,3963,3965
misdemeanor_offenses,10,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,6,13,10,19,17,15,17,6,11,9,32,48,15,24,4,9
misdemeanor_offenses,10,MISDEMEANOR SEX CRIMES (4),21,22,18,27,22,30,27,36,30,35,27,21,25,33,16,29
misdemeanor_offenses,10,MISDEMEANOR DANGEROUS DRUGS  (1),767,465,450,651,394,500,494,314,337,382,354,447,412,364,375,349
misdemeanor_offenses,10,MISDEMEANOR DANGEROUS WEAPONS (5)               ,20,15,18,34,26,27,43,44,48,23,14,28,23,21,15,20
misdemeanor_offenses,10,PETIT LARCENY                         ,1094,1081,1186,936,863,882,975,807,876,811,838,955,984,995,863,729
misdemeanor_offenses,10,ASSAULT 3 AND RELATED OFFENSES        ,397,370,373,423,401,421,475,427,422,336,362,299,338,326,306,307
misdemeanor_offenses,10,INTOXICATED & IMPAIRED DRIVING              ,61,58,98,154,110,133,159,183,225,143,97,63,43,43,40,28
misdemeanor_offenses,10,VEHICLE AND TRAFFIC LAWS              ,103,69,61,50,53,44,40,35,49,44,42,45,39,38,40,48
misdemeanor_offenses,10,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,307,301,290,266,264,317,291,279,301,218,285,260,260,259,233,245
misdemeanor_offenses,10,CRIMINAL TRESPASS,136,113,94,129,97,160,119,71,66,106,99,154,176,207,154,69
misdemeanor_offenses,10,UNAUTHORIZED USE OF A VEHICLE           ,28,24,36,6,22,9,7,6,10,11,6,12,7,9,25,17
misdemeanor_offenses,10,OFFENSES AGAINST THE PERSON (7)      ,6,7,6,6,13,10,3,13,12,9,6,9,8,10,2,5
misdemeanor_offenses,10,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),54,58,32,48,76,63,78,67,78,66,62,51,51,86,73,63
misdemeanor_offenses,10,ADMINISTRATIVE CODE (6)            ,2,0,5,5,5,7,2,5,3,3,6,3,2,5,3,3
misdemeanor_offenses,10,FRAUDS (3)                    ,47,54,40,45,42,53,57,32,49,33,37,37,62,57,34,34
misdemeanor_offenses,10,AGGRAVATED HARASSMENT 2               ,242,257,250,248,246,215,232,225,262,232,224,201,253,203,151,155
misdemeanor_offenses,10,OTHER MISDEMEANORS (8),220,145,91,128,158,206,131,140,190,172,179,272,248,397,343,406
misdemeanor_offenses,10,TOTAL MISDEMEANOR OFFENSES,3511,3052,3058,3175,2809,3092,3150,2690,2969,2633,2670,2905,2946,3077,2677,2516
misdemeanor_offenses,13,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,15,19,11,28,23,35,47,59,55,67,80,133,127,106,48,39
misdemeanor_offenses,13,MISDEMEANOR SEX CRIMES (4),75,60,59,57,47,51,83,115,104,115,81,81,81,96,93,91
misdemeanor_offenses,13,MISDEMEANOR DANGEROUS DRUGS  (1),465,356,390,486,271,187,174,276,209,262,460,666,356,458,443,413
misdemeanor_offenses,13,MISDEMEANOR DANGEROUS WEAPONS (5)               ,30,22,14,29,18,26,47,65,73,50,68,87,75,93,140,130
misdemeanor_offenses,13,PETIT LARCENY                         ,2151,2319,2350,1918,1916,1852,1820,1975,1966,2039,1860,1797,1915,2094,1874,1917
misdemeanor_offenses,13,ASSAULT 3 AND RELATED OFFENSES        ,585,523,505,512,502,519,507,535,500,474,446,494,486,475,487,487
misdemeanor_offenses,13,INTOXICATED & IMPAIRED DRIVING              ,31,29,25,28,28,45,53,72,57,57,57,56,78,74,35,28
misdemeanor_offenses,13,VEHICLE AND TRAFFIC LAWS              ,123,93,75,78,92,78,65,75,61,63,58,43,62,88,74,76
misdemeanor_offenses,13,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,469,419,400,450,372,421,427,422,375,321,402,399,325,310,326,311
misdemeanor_offenses,13,CRIMINAL TRESPASS,71,63,52,65,66,78,58,77,56,75,116,149,137,135,142,140
misdemeanor_offenses,13,UNAUTHORIZED USE OF A VEHICLE           ,13,8,10,11,5,8,6,14,5,7,6,9,6,4,4,7
misdemeanor_offenses,13,OFFENSES AGAINST THE PERSON (7)      ,19,11,9,15,12,11,8,21,7,5,9,9,5,15,39,26
misdemeanor_offenses,13,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),73,68,60,56,86,92,88,98,103,111,76,96,117,96,70,99
misdemeanor_offenses,13,ADMINISTRATIVE CODE (6)            ,9,5,10,2,2,4,3,2,8,3,7,4,3,1,2,1
misdemeanor_offenses,13,FRAUDS (3)                    ,168,255,96,187,281,129,59,76,78,92,80,209,198,96,134,136
misdemeanor_offenses,13,AGGRAVATED HARASSMENT 2               ,612,584,505,449,476,469,400,393,384,386,382,347,301,328,258,230
misdemeanor_offenses,13,OTHER MISDEMEANORS (8),1147,783,637,692,788,516,283,565,699,765,1042,1267,1513,1332,1113,1278
misdemeanor_offenses,13,TOTAL MISDEMEANOR OFFENSES,6056,5617,5208,5063,4985,4521,4128,4840,4740,4892,5230,5846,5785,5801,5282,5409
